           1           0        3957         397        1383        1876          96
  2   -0.18   -0.06     0.02  0.006    -1.88    -1.29    -0.07     0.16 10125   -1.93   -1.26
  1   -0.33   -0.09     0.35  0.010    -2.10     1.99     0.06     0.16 10005   -2.14    1.94
  3    0.39    0.25     0.17  0.199    -2.10     1.99     0.06     0.16 10005   -2.14    1.94
  1    0.22    0.30    -0.04  0.010    -2.10     1.99     0.06     0.16 10005   -2.14    1.94
 -2    0.37   -0.52     0.30  0.006     0.90     2.33     0.04     0.16 10136    0.78    2.38
  2    0.57    0.16     0.01  0.006     0.90     2.33     0.04     0.16 10136    0.78    2.38
  3   -0.10   -0.23     0.02  0.199     3.07     2.15    -0.09     0.16 10029    3.05    2.22
  2   -0.01   -0.52    -0.98  0.006     3.07     2.15    -0.09     0.16 10029    3.05    2.22
  2    0.36   -0.12    -0.07  0.006     3.07     2.15    -0.09     0.16 10029    3.05    2.22
  2    0.12   -0.10    -0.44  0.006     0.85    -5.05    -0.06     0.16 20001    0.86   -5.05
  2   -0.05   -0.42    -0.02  0.006     0.85    -5.05    -0.06     0.16 20001    0.86   -5.05
  2   -0.19    0.47    -0.02  0.006     0.85    -5.05    -0.06     0.16 20001    0.86   -5.05
  1   -0.25   -0.18     0.07  0.010    -3.99    -4.00    -0.04     0.16 10106   -4.01   -3.87
 -1    0.42   -0.80    -0.36  0.010    -3.99    -4.00    -0.04     0.16 10106   -4.01   -3.87
  1    0.03   -0.29    -0.01  0.010    -0.15    -4.98    -0.04     0.16 10147   -0.20   -5.04
  3    0.13    0.55    -0.06  0.199    -0.15    -4.98    -0.04     0.16 10147   -0.20   -5.04
  2    0.22    0.19    -0.29  0.006    -0.15    -4.98    -0.04     0.16 10147   -0.20   -5.04
  1   -0.04   -0.29     0.18  0.010     3.89     3.20     0.06     0.16 10146    3.78    3.22
 -3    0.97    0.15     0.32  0.199     3.89     3.20     0.06     0.16 10146    3.78    3.22
  1    0.37    0.20     0.01  0.010     2.50    -4.58     0.05     0.16 10139    2.47   -4.58
  1   -0.14   -0.39    -0.06  0.010     2.50    -4.58     0.05     0.16 10139    2.47   -4.58
  2   -0.02    0.14     0.50  0.006     2.50    -4.58     0.05     0.16 10139    2.47   -4.58
  2    1.00    0.54    -0.24  0.006    -4.77     1.39    -0.04     0.16 10062   -4.91    1.31
 -1    0.08    0.06    -0.06  0.010    -4.77     1.39    -0.04     0.16 10062   -4.91    1.31
  2   -0.07    0.29    -0.11  0.006     4.02     2.19    -0.03     0.16 20045    3.94    2.07
 -2    0.69    0.62    -0.16  0.006     4.02     2.19    -0.03     0.16 20045    3.94    2.07
 -1    0.32    0.04     0.02  0.010     0.78     6.52     0.02     0.16 20068    0.77    6.56
 -1    0.10   -0.46     0.13  0.010     0.78     6.52     0.02     0.16 20068    0.77    6.56
 -1   -0.38    0.14     0.02  0.010     0.78     6.52     0.02     0.16 20068    0.77    6.56
  2    0.50   -0.23    -0.52  0.006    -2.44    -2.06    -0.07     0.16 20188   -2.49   -1.97
  1    0.16   -0.32    -0.13  0.010    -2.44    -2.06    -0.07     0.16 20188   -2.49   -1.97
  1   -0.19   -0.25     0.04  0.010    -2.44    -2.06    -0.07     0.16 20188   -2.49   -1.97
  1   -0.15   -0.13    -0.90  0.010     1.13    -1.57    -0.10     0.16 10016    1.15   -1.63
  1   -0.22    0.31     0.10  0.010     1.13    -1.57    -0.10     0.16 10016    1.15   -1.63
  1    0.13    0.43    -0.31  0.010     1.13    -1.57    -0.10     0.16 10016    1.15   -1.63
 -3    0.53    0.44     0.27  0.199    -1.61     1.74     0.10     0.17 10104   -1.64    1.64
  1   -0.11    0.69     0.93  0.010    -1.61     1.74     0.10     0.17 10104   -1.64    1.64
 -3    0.00    0.16     0.21  0.199     5.98     2.85    -0.04     0.17 10150    6.00    2.82
 -1    0.22   -0.13     0.05  0.010     5.98     2.85    -0.04     0.17 10150    6.00    2.82
 -2   -0.35    0.19    -0.53  0.006     5.98     2.85    -0.04     0.17 10150    6.00    2.82
  1    0.06   -0.17     0.28  0.010    -3.18     2.94    -0.09     0.17 20052   -3.18    3.00
  1   -0.28   -0.24    -0.74  0.010    -3.18     2.94    -0.09     0.17 20052   -3.18    3.00
  1    0.14   -0.18    -0.52  0.010    -3.18     2.94    -0.09     0.17 20052   -3.18    3.00
  2   -0.18    0.38     0.08  0.006     0.39    -2.73    -0.04     0.17 20009    0.42   -2.75
  3    0.24    0.09    -0.13  0.199     0.39    -2.73    -0.04     0.17 20009    0.42   -2.75
  2   -0.26   -0.31    -0.24  0.006     0.39    -2.73    -0.04     0.17 20009    0.42   -2.75
  2    0.08    0.02    -0.01  0.006     1.45     1.23     0.01     0.17 20092    1.57    1.31
 -1   -0.94   -0.58     0.05  0.010     1.45     1.23     0.01     0.17 20092    1.57    1.31
  1   -0.07    0.35    -0.27  0.010    -3.11     1.43    -0.01     0.17 20108   -3.13    1.40
  1   -0.14   -0.24     0.23  0.010    -3.11     1.43    -0.01     0.17 20108   -3.13    1.40
  2    0.37    0.08    -0.03  0.006    -3.11     1.43    -0.01     0.17 20108   -3.13    1.40
  1    0.22   -0.07    -0.46  0.010    -3.86     5.37     0.00     0.17 20125   -3.91    5.35
  3    0.20    0.11     0.38  0.199    -3.86     5.37     0.00     0.17 20125   -3.91    5.35
