           1        3957
 event,miss,iscat,jscat=           1           0          97          67
    -3    0.257   -0.145     -0.446  0.199     0.44    -0.09     0.03     0.22
 event,miss,iscat,jscat=           1           0         681         600
     2   -0.005    0.262      0.400  0.006    -0.06    -4.26     0.02     0.22
    -2    0.053    0.205     -0.277  0.006     0.02    -4.29     0.04     0.21
     2   -0.238    0.371      0.242  0.006    -0.06    -4.26     0.02     0.22
    -2    0.286    0.096     -0.119  0.006     0.02    -4.29     0.03     0.22
 event,miss,iscat,jscat=           1           0         356         154
    -2    0.158   -0.262      0.297  0.006    -0.34    -4.82     0.12     0.19
     3    0.134    0.555     -0.059  0.199    -0.15    -4.98    -0.04     0.16
    -2    0.227   -0.284      0.211  0.006    -0.32    -4.84     0.15     0.22
     3    0.065    0.576      0.027  0.199    -0.14    -4.93    -0.05     0.22
 event,miss,iscat,jscat=           1           0         315         189
     3    0.236    0.155      0.307  0.199    -3.07     1.38    -0.04     0.19
     2    0.367    0.082     -0.029  0.006    -3.11     1.43    -0.01     0.17
     3    0.196    0.036      0.263  0.199    -3.05     1.39    -0.01     0.23
     2    0.407    0.201      0.016  0.006    -3.05     1.44    -0.01     0.23
 event,miss,iscat,jscat=           1           0         213          13
     2    0.580   -0.411      0.231  0.006    -3.30     0.01    -0.00     0.17
    -1   -0.209    0.994      0.034  0.010    -3.47    -0.28    -0.01     0.12
     2    0.329   -0.527      0.194  0.006    -3.26    -0.02     0.01     0.23
    -1    0.043    1.110      0.070  0.010    -3.50    -0.18    -0.00     0.23
 event,miss,iscat,jscat=           1           0         115         114
     2    0.064    0.021     -0.151  0.006     1.25     1.10    -0.02     0.19
     1   -0.306   -0.038     -0.038  0.010     1.27     1.12    -0.08     0.20
     2   -0.029   -0.053      0.099  0.006     1.27     1.10    -0.05     0.23
     1   -0.213    0.036     -0.288  0.010     1.25     1.12    -0.09     0.23
 event,miss,iscat,jscat=           1           0         741         198
     3    0.224   -0.015      0.083  0.199    -2.26    -0.83     0.15     0.23
     1    0.096   -0.438      1.176  0.010    -2.30    -0.76     0.09     0.17
     3   -0.128    0.064      0.429  0.199    -2.26    -0.83     0.15     0.23
     1    0.448   -0.517      0.829  0.010    -2.30    -0.78     0.15     0.23
 event,miss,iscat,jscat=           1           0         520         486
    -2    0.277    0.267     -0.515  0.006     3.50    -2.00    -0.14     0.21
     2   -0.239    0.200      0.048  0.006     3.59    -1.99    -0.08     0.21
    -2    0.087    0.271     -0.635  0.006     3.51    -1.99    -0.16     0.23
