      1      1   2775    3.8609      169 156  12 157   4 152      0.0000
   111    0.045   -0.031     -0.2390  0.135 0.52E+03 -.79E+04 -.84E+04 0.18E+05
   111   -0.017   -0.287     -0.2813  0.135     0.58    -6.87    -1.69     3.40
  -211   -0.025   -0.105      0.0576  0.140     0.56   -11.31   -10.46    22.80
  -211    0.189   -0.118     -0.0681  0.140     8.07     0.68    -0.28     2.20
  -211   -0.226   -0.456     -0.6681  0.140    -0.17    -6.92    -1.50     2.20
   111    0.022   -0.054      0.0004  0.135 0.52E+03 -.79E+04 -.84E+04 0.18E+05
   111    0.216    0.481      0.2235  0.135    -1.89    12.84     5.05    11.60
   111   -0.113   -0.119     -0.2247  0.135    -2.73    -4.53    -1.41     4.80
   111    0.316    0.017      0.0358  0.135     3.74     2.85    -3.30     7.20
   211    0.003   -0.142     -0.2061  0.140     6.06    -3.89    -5.80    12.60
   211    0.153    0.564      0.2140  0.140     6.84     5.36     2.91     4.60
   111   -0.236   -0.037     -0.0721  0.135    -5.52    -1.97    -0.61     2.40
   111   -0.122    0.198     -1.4048  0.135    -2.08     3.03    -6.16     7.20
  3122    0.294   -0.228     -0.5416  1.116     5.12    -0.43    -0.91     2.40
  -211    0.145   -0.225      0.1747  0.140     7.65     3.06     3.85    10.40
  -211    0.035    0.112     -0.0088  0.140     6.94    -3.99    -5.30    10.00
   321    0.324    0.520     -0.0517  0.494     5.00     5.20     0.12     2.40
   111    0.243    0.185     -0.5067  0.135    10.96     0.20   -14.27    18.80
   111   -0.042   -0.031      0.0326  0.135 0.71E+04 -.27E+04 0.13E+05 0.24E+05
  2212    0.384   -0.304     -0.2092  0.938     8.28     0.75    -0.40     2.60
   211    0.176   -0.056     -0.1174  0.140     5.15     2.47    -1.08     2.40
  -211   -0.067    0.263     -0.0036  0.140    -3.72     1.26    -3.33    12.60
   111   -0.140   -0.127      0.3021  0.135     1.40     3.91    13.41    15.00
   111    0.971    0.467      0.2499  0.135     5.15    -3.09     0.73     2.80
  -211   -0.120    0.362      0.0810  0.140    -6.08    12.35     5.36    12.80
   111    0.240    0.010      0.2714  0.135 0.71E+04 -.27E+04 0.13E+05 0.24E+05
   211    0.305    0.030      0.0625  0.140     6.85    -3.34     0.44     2.40
   111   -0.054   -0.665      0.1382  0.135    -1.14    -5.44     1.18     5.00
  -211    0.021   -0.095     -0.0978  0.140    -1.44     2.72     1.03    12.40
   111    0.008   -0.023     -0.0249  0.135     2.41     0.19    -3.59     9.60
   211    0.066    0.096      0.3422  0.140     4.30     2.36    -0.01    10.60
   211    0.561    0.056      0.4828  0.140    16.78    -2.22    17.17    24.40
   111    0.283    0.141      0.8401  0.135     1.69     7.39    17.19    17.80
   111    0.231   -0.057      1.5307  0.135     5.70    -3.36     6.09     6.60
   111   -0.211    0.198      0.1879  0.135    -1.68     4.43    -1.15     9.80
  -211   -0.054   -0.030     -0.0603  0.140     0.52    -1.11   -15.09    16.60
   111   -0.362   -0.385     -0.5634  0.135    -3.24    -4.52    -7.90     9.00
  -211    0.361    0.229     -0.5676  0.140     7.91     3.15    -1.49     2.40
   211   -0.026   -0.254     -0.1455  0.140     7.98    -1.30    -1.07     2.40
  -211    0.063   -0.292      0.0622  0.140     4.70    -4.11     3.68     7.80
   111   -0.306   -0.214      1.3013  0.135    -6.53    -0.89    10.86    12.20
   111    0.085   -0.175     -0.1037  0.135    -6.80    -1.01    -2.24     9.00
  -211   -0.060   -0.026     -0.0810  0.140    -6.11    -9.15   -21.05    23.80
   211   -0.201    0.234      0.0213  0.140    -6.13     7.66     7.20    11.60
   111   -0.785   -0.426      2.0025  0.135    -6.11    -3.85    15.22    17.00
   111   -0.023    0.002      0.2705  0.135 -.50E+04 -.34E+05 0.13E+06 0.22E+06
   211    0.113    0.058      0.1870  0.140    -2.32     1.95     4.41    15.80
   211   -0.185    0.141     -0.1753  0.140    -0.44     3.22    -8.59    10.60
   111   -0.106   -0.086      0.0689  0.135 -.50E+04 -.34E+05 0.13E+06 0.22E+06
  -211   -0.076   -0.032     -0.1014  0.140   -10.49     7.79    -6.23    25.20
   111    0.154    0.320      0.0216  0.135     2.54     6.02     0.21     3.60
   211    0.427    0.431     -0.0201  0.140     7.45    15.95    -0.08    18.60
  -211    0.363   -0.423     -0.2873  0.140     5.19    -3.23    -4.56     9.20
   211    0.147    0.289     -0.4956  0.140     2.19     7.14    -9.90    13.80
   211    0.189   -0.049      0.3951  0.140     9.17     2.27     7.91    13.20
  -211   -0.084   -0.160      0.4347  0.140    -0.18    -7.02     9.83    10.80
  -211    0.041   -0.039     -0.4767  0.140    -3.08     5.66   -33.88    34.05
   111    0.160   -0.408      0.9699  0.135     1.97    -6.85     6.12     6.60
   111   -0.013    0.025      0.3649  0.135     5.33    -8.15    40.04    40.53
   111   -0.050   -0.044     -0.3115  0.135     1.18   -11.61    -8.51    14.80
   111    0.237   -0.112      0.1328  0.135     3.47    -4.43     2.56     6.20
  -321   -0.186   -0.044      0.0042  0.494     0.21     6.45     1.04     2.80
   111    0.163    0.069     -0.1531  0.135    -9.90     3.76    -7.66    16.00
   111    0.048    0.057      0.1665  0.135    -5.97     7.57     7.33    11.60
   111    0.149   -0.178      0.3731  0.135    -1.86    -5.68     2.85     5.00
  -211   -0.012    0.365     -0.2059  0.140     5.71     9.61    -0.26    14.60
   111    0.220    0.100     -0.3299  0.135     1.05     0.76    -2.74     9.20
    22   -0.062    0.017      0.1061  0.000 -.27E+04 0.91E+04 0.14E+05 0.27E+05
