           1           0         197         197   3.86094236    
     4.776      5.912   132     0     -1.846  2112  2112
     7.035      3.523   133     0     -1.931  2112  2112
     0.390      1.540   134     3     -1.933     0  2112
     5.015      1.193   135     3     -2.014     0  2112
     0.783      2.378   136     3     -2.078     0  2112
     1.310      0.395   137     3     -2.082     0  2112
     0.552      5.442   138     3     -2.250     0  2112
     2.474     -4.580   139     3     -2.295     0  2112
    -3.055      0.379   140     3     -2.377     0  2112
    -1.609     -4.186   141     0     -2.400  2112  2112
    -1.624      3.501   142     3     -2.400     0  2112
     5.599      1.348   143     3     -2.501     0  2112
    -3.356      0.095   144     3     -2.518     0  2112
     2.107      5.689   145     3     -2.557     0  2112
     3.778      3.218   146     3     -2.567     0  2112
    -0.201     -5.041   147     3     -2.574     0  2212
     4.416      5.945   148     0     -2.588  2112  2112
     3.247      4.332   149     3     -2.590     0  2112
     6.002      2.821   150     3     -2.613     0  2112
     0.706      0.803   151     3     -2.737     0  2112
     3.795      1.976   152     3     -2.759     0  2112
    -0.706     -2.844   153     3     -2.882     0  2112
    -2.109     -0.298   154     3     -2.972     0  2112
     3.252     -1.131   155     3     -3.097     0  2112
     1.208      2.919   156     3     -3.190     0  2112
     3.727      2.612   157     3     -3.211     0  2112
     4.493      3.585   158     3     -3.244     0  2112
    -4.225      2.074   159     3     -3.252     0  2112
     2.252      5.051   160     1     -3.311  2112  2112
     1.749      3.601   161     3     -3.312     0  2112
     0.138      2.774   162     3     -3.349     0  2112
     4.630     -3.870   163     1     -3.359  2112  2112
    -0.314      0.334   164     3     -3.372     0  2112
    -2.338      2.752   165     3     -3.400     0  2112
    -0.188      3.663   166     3     -3.469     0  2112
     3.888      4.370   167     0     -3.481  2112  2112
     3.568      3.625   168     3     -3.664     0  2112
     1.449     -2.676   169     3     -3.681     0  2112
     5.347     -0.991   170     3     -3.727     0  2112
     1.353     -1.204   171     3     -3.906     0  2112
    -1.262     -2.870   172     3     -3.983     0  2112
     1.217     -0.352   173     3     -4.116     0  2112
     4.381      1.472   174     3     -4.286     0  2112
    -1.449      1.226   175     3     -4.294     0  2112
    -0.100      2.940   176     3     -4.395     0  2212
     2.588     -0.445   177     3     -4.442     0  2212
     0.822      4.234   178     3     -4.447     0  2112
     5.335     -2.676   179     0     -4.669  2112  2112
     4.676      0.604   180     3     -4.694     0  2112
     4.349      2.667   181     3     -4.699     0  2112
     2.117     -2.696   182     3     -4.758     0  2112
     2.569     -2.077   183     3     -4.812     0  2112
    -2.003     -2.139   184     3     -4.968     0  2112
     7.111     -0.017   185     3     -5.001     0  2112
     3.126      2.473   186     1     -5.026  2112  2112
     2.806      5.038   187     3     -5.069     0  2112
     6.791     -0.125   188     0     -5.224  2112  2112
    -0.100     -4.679   189     3     -5.262     0  2112
     2.369     -3.825   190     3     -5.469     0  2112
    -0.641      3.279   191     3     -5.475     0  2112
    -1.448     -0.716   192     3     -5.802     0  2112
     1.396     -0.320   193     3     -5.823     0  2112
    -0.334     -1.434   194     3     -6.058     0  2112
    -1.214     -0.333   195     3     -6.611     0  2112
     2.515      4.860   196     3     -7.002     0  2112
     0.212     -3.005   197     3     -8.299     0  2112
     0.864     -5.046    -1     3     -6.561     0  2212
    -3.968     -3.742    -2     3     -6.505     0  2212
    -2.578     -1.148    -3     3     -5.706     0  2212
    -0.640     -1.985    -4     3     -5.704     0  2212
     0.924     -0.206    -5     3     -5.401     0  2212
    -3.475      0.084    -6     3     -5.316     0  2212
     1.509     -0.548    -7     3     -5.255     0  2112
    -3.424     -0.385    -8     3     -5.250     0  2212
     0.421     -2.752    -9     3     -4.845     0  2212
    -0.588     -0.995   -10     3     -4.670     0  2212
    -0.018      1.481   -11     3     -4.549     0  2212
    -2.285     -1.273   -12     3     -4.314     0  2212
    -4.771     -3.848   -13     0     -4.106  2212  2212
    -2.100     -0.107   -14     3     -3.995     0  2212
    -2.746     -1.099   -15     3     -3.827     0  2212
     7.301      1.994   -16     3     -3.523     0  2212
